Date,Open,High,Low,Close,Volume,Adj Close
2005-06-06,7.7,7.9,7.62,7.9,1974200,3.24
2005-06-07,7.92,7.97,7.68,7.76,4464600,3.182
2005-06-08,7.77,8.54,7.77,8.47,16016600,3.4730000000000003
2005-06-09,8.49,8.6,8.3,8.42,7390800,3.4530000000000003
2005-06-10,8.42,8.75,8.35,8.57,14067300,3.514
2005-06-13,8.6,8.75,8.38,8.7,8409300,3.568
2005-06-14,8.7,8.81,8.59,8.72,5417800,3.576
2005-06-15,8.72,8.8,8.6,8.64,4806000,3.543
2005-06-16,8.64,8.99,8.64,8.67,7641300,3.555
2005-06-17,4.25,4.48,4.15,4.4,8091700,3.7110000000000003
2005-06-20,4.26,4.55,4.26,4.5,10487600,3.7960000000000003
2005-06-21,4.49,4.55,4.43,4.5,4706000,3.7960000000000003
2005-06-22,4.48,4.6,4.47,4.52,9547600,3.813
2005-06-23,4.55,4.55,4.37,4.39,3336100,3.7030000000000003
2005-06-24,4.35,4.41,4.28,4.41,2656800,3.72
2005-06-27,4.44,4.55,4.42,4.52,8109100,3.813
2005-06-28,4.5,4.54,4.4,4.5,4381900,3.7960000000000003
2005-06-29,4.5,4.5,4.42,4.44,1747600,3.745
2005-06-30,4.45,4.45,4.29,4.29,2768200,3.6189999999999998
2005-07-01,4.25,4.3,4.23,4.26,1686700,3.593
2005-07-04,4.23,4.26,4.17,4.25,1872600,3.585
2005-07-05,4.2,4.27,4.16,4.24,970600,3.576
2005-07-06,4.24,4.28,4.21,4.26,688100,3.593
2005-07-07,4.25,4.36,4.25,4.33,1125000,3.6519999999999997
2005-07-08,4.3,4.32,4.24,4.3,1113500,3.627
2005-07-11,4.33,4.4,4.25,4.26,892600,3.593
2005-07-12,4.26,4.43,4.19,4.42,2730100,3.728
2005-07-13,4.4,4.4,4.34,4.34,893900,3.661
2005-07-14,4.36,4.43,4.33,4.36,891400,3.678
2005-07-15,4.34,4.44,4.26,4.3,980400,3.627
2005-07-18,4.26,4.29,4.21,4.23,1080400,3.568
2005-07-19,4.23,4.27,4.19,4.23,747600,3.568
2005-07-20,4.23,4.26,4.15,4.2,1676600,3.543
2005-07-21,4.2,4.22,4.0,4.08,3066600,3.4419999999999997
2005-07-22,4.08,4.28,4.08,4.19,2926700,3.534
2005-07-25,4.2,4.26,4.18,4.23,997200,3.568
2005-07-26,4.25,4.47,4.2,4.43,5199000,3.737
2005-07-27,4.43,4.53,4.36,4.52,4074500,3.813
2005-07-28,4.52,4.56,4.44,4.49,4709600,3.787
2005-07-29,4.5,4.5,4.38,4.42,1806500,3.728
2005-08-01,4.42,4.49,4.4,4.44,1362600,3.745
2005-08-02,4.44,4.55,4.39,4.53,2990400,3.821
2005-08-03,4.53,4.73,4.52,4.63,7603100,3.905
2005-08-04,4.63,4.65,4.55,4.62,2933000,3.897
2005-08-05,4.6,4.8,4.57,4.79,6753200,4.04
2005-08-08,4.8,4.86,4.75,4.77,6648900,4.024
2005-08-09,4.7,4.8,4.65,4.8,5033000,4.0489999999999995
2005-08-10,4.77,4.81,4.72,4.8,4759300,4.0489999999999995
2005-08-11,4.8,4.8,4.8,4.8,0,4.0489999999999995
2005-08-12,4.91,5.17,4.9,4.97,19313300,4.192
2005-08-15,4.97,5.11,4.88,5.1,4905500,4.302
2005-08-16,5.11,5.11,4.96,5.0,4411400,4.218
2005-08-17,4.99,5.02,4.86,5.01,3003900,4.226
2005-08-18,5.01,5.04,4.7,4.79,5343000,4.04
2005-08-19,4.7,4.89,4.7,4.87,4209700,4.1080000000000005
2005-08-22,4.83,4.97,4.78,4.92,1736900,4.15
2005-08-23,4.93,5.0,4.82,4.88,2773900,4.1160000000000005
2005-08-24,4.9,5.0,4.88,4.9,1955900,4.133
2005-08-25,4.95,4.98,4.85,4.93,1795600,4.159
2005-08-26,4.9,4.94,4.86,4.89,842200,4.125
2005-08-29,4.9,4.94,4.81,4.84,1576300,4.083
2005-08-30,4.8,4.93,4.77,4.85,1985600,4.091
2005-08-31,4.8,4.94,4.79,4.91,2134900,4.1419999999999995
2005-09-01,4.91,5.08,4.81,5.04,4673300,4.251
2005-09-02,5.04,5.26,5.01,5.25,8342800,4.428
2005-09-05,5.25,5.26,5.18,5.21,2869600,4.395
2005-09-06,5.2,5.33,5.04,5.14,4135900,4.336
2005-09-07,5.1,5.26,5.09,5.25,4320800,4.428
2005-09-08,5.25,5.36,5.2,5.3,6707200,4.471
2005-09-09,5.3,5.33,5.15,5.22,3884300,4.4030000000000005
2005-09-12,5.24,5.3,5.18,5.26,3399300,4.437
2005-09-13,5.21,5.36,5.21,5.35,5055000,4.513
2005-09-14,5.35,5.5,5.35,5.45,6180000,4.5969999999999995
2005-09-15,5.38,5.49,5.37,5.44,2497600,4.5889999999999995
2005-09-16,5.48,5.55,5.34,5.35,2389300,4.513
2005-09-19,5.35,5.38,5.27,5.33,3006600,4.496
2005-09-20,5.33,5.38,5.22,5.32,3040900,4.487
2005-09-21,5.3,5.3,5.18,5.24,3225000,4.42
2005-09-22,5.21,5.24,5.03,5.11,3459700,4.31
2005-09-23,5.1,5.13,5.05,5.05,1245400,4.26
2005-09-26,5.05,5.15,5.03,5.13,1113800,4.327
2005-09-27,5.13,5.23,5.08,5.17,3281100,4.361000000000001
2005-09-28,5.14,5.2,5.08,5.2,3753200,4.386
2005-09-29,5.17,5.23,5.14,5.2,3521900,4.386
2005-09-30,5.23,5.27,5.17,5.26,1751300,4.437
2005-10-03,5.23,5.27,5.17,5.26,0,4.437
2005-10-04,5.23,5.27,5.17,5.26,0,4.437
2005-10-05,5.23,5.27,5.17,5.26,0,4.437
2005-10-06,5.23,5.27,5.17,5.26,0,4.437
2005-10-07,5.23,5.27,5.17,5.26,0,4.437
2005-10-10,5.25,5.26,5.05,5.1,1637400,4.302
2005-10-11,5.1,5.14,5.03,5.1,2053100,4.302
2005-10-12,5.1,5.22,5.04,5.15,1680400,4.343999999999999
2005-10-13,5.16,5.16,5.04,5.06,2093900,4.268
